x1,y1,x2,y2,col
0,-13.5,0,13.5,"Black"
0,13.5,54,13.5,"Black"
54,13.5,54,-13.5,"Black"
54,-13.5,0,-13.5,"Black"

27,13.5,27,-13.5,"Black"
7.8583,13.5,7.8583,-13.5,"Black"
26.25,2.4058,26.25,-2.4058,"Magenta"
18.5507,1.8958,18.5507,-1.8958,"Magenta"
20.9794,2.4058,26.25,2.4058,"Magenta"
20.9794,-2.4058,26.25,-2.4058,"Magenta"
18.5507,1.8958,20.9794,2.4058,"Magenta"
18.5507,-1.8958,20.9794,-2.4058,"Magenta"


0,-5.3333,0,5.3333,"Blue"
0,5.3333,4,5.3333,"Blue"
4,5.3333,4,2,"Blue"
0,2,4,2,"Blue"
4,2,4,-2,"Blue"
4,-2,0,-2,"Blue"
0,-5.3333,4,-5.3333,"Blue"
4,-5.3333,4,-2,"Blue"
4,6.2708,4,-6.2708,"Blue"
4,6.2708,7.8583,6.2708,"Blue"
4,-6.2708,7.8583,-6.2708,"Blue"
7.8583,6.2708,7.8583,-6.2708,"Blue"
4,0,7.9375,0,"Blue"
0,-7.9582,3.75,-7.9582,"Orange"
3.75,-5.333,3.75, -7.9582,"Orange"
0,7.9582,3.75,7.9582,"Orange"
3.75,5.333,3.75, 7.9582,"Orange"

16.7608,13.5,21.4275,13.5,"Red"
16.9275,13.5,16.9275,12.8333,"Red"
21.4275,13.5,21.4275,12.8333,"Red"
17.8441,10,20.3442,10,"Red"
16.9275,12.8333,17.8441,10,"Red"
21.4275,12.8333,20.3442,10,"Red"

16.7608,-13.5,21.4275,-13.5,"Red"
16.9275,-13.5,16.9275,-12.8333,"Red"
21.4275,-13.5,21.4275,-12.8333,"Red"
17.8441,-10,20.3442,-10,"Red"
16.9275,-12.8333,17.8441,-10,"Red"
21.4275,-12.8333,20.3442,-10,"Red"


